date,profit_margin
2013-04-16,16.0455
2013-05-16,15.9081
2013-06-16,15.9081
2013-07-16,15.9081
2013-08-16,15.3862
2013-09-16,15.0968
2013-10-16,15.2356
2013-11-16,15.7257
2013-12-16,15.7257
2014-01-16,15.7257
2014-02-16,15.0927
2014-03-16,15.3294
2014-04-16,14.5578
2014-05-16,15.011
2014-06-16,15.011
2014-07-16,15.011
2014-08-16,15.1767
2014-09-16,15.3783
2014-10-16,15.3939
2014-11-16,15.8541
2014-12-16,15.8541
2015-01-16,15.8541
2015-02-16,15.3314
2015-03-16,15.7926
2015-04-16,15.4024
2015-05-16,15.8938
2015-06-16,15.9746
2015-07-16,16.188
2015-08-16,15.207
2015-09-16,17.8132
2015-10-16,17.9671
2015-11-16,16.6931
2015-12-16,16.7178
2016-01-16,16.7178
2016-02-16,14.5956
2016-03-16,14.6357
2016-04-16,16.6603
2016-05-16,15.6641
2016-06-16,15.6441
2016-07-16,15.7888
2016-08-16,14.6955
2016-09-16,13.6116
2016-10-16,13.7077
2016-11-16,13.6881
2016-12-16,13.7281
2017-01-16,13.7281
2017-02-16,13.593
2017-03-16,13.5064
2017-04-16,13.6236
2017-05-16,13.5903
2017-06-16,13.5756
2017-07-16,13.7529
2017-08-16,13.9111
2017-09-16,14.2951
2017-10-16,14.487
2017-11-16,14.451
2017-12-16,14.5887
2018-01-16,14.5887
2018-02-16,14.5168
2018-03-16,14.8008
2018-04-16,15.476
2018-05-16,15.4608
2018-06-16,15.4627
2018-07-16,15.8871
2018-08-16,15.7993
2018-09-16,16.5255
2018-10-16,16.9161
2018-11-16,16.9132
2018-12-16,17.0989
2019-01-16,17.0989
2019-02-16,16.6852
2019-03-16,16.9587
2019-04-16,15.4792
2019-05-16,15.481
2019-06-16,15.4767
2019-07-16,15.7639
2019-08-16,15.7457
2019-09-16,15.4111
2019-10-16,15.5893
2019-11-16,15.5884
2019-12-16,15.6296
2020-01-16,15.6296
2020-02-16,15.6335
2020-03-16,15.5229
2020-04-16,13.8911
2020-05-16,13.9579
2020-06-16,13.9576
2020-07-16,13.0793
2020-08-16,12.9681
2020-09-16,11.2522
2020-10-16,11.2041
2020-11-16,11.2039
2020-12-16,10.9977
2021-01-16,10.9977
2021-02-16,11.0105
2021-03-16,10.9567
2021-04-16,12.3747
2021-05-16,12.592
2021-06-16,12.5913
2021-07-16,12.3721
2021-08-16,13.6819
2021-09-16,14.3029
2021-10-16,14.2519
2021-11-16,14.2516
2021-12-16,14.3107
2022-01-16,14.3107
2022-02-16,14.0812
2022-03-16,14.0688
2022-04-16,12.9757
2022-05-16,13.0177
2022-06-16,13.0181
2022-07-16,13.068
2022-08-16,12.1093
2022-09-16,11.5807
2022-10-16,11.5428
2022-11-16,11.5197
2022-12-16,11.5665
2023-01-16,11.5665
2023-02-16,11.4325
2023-03-16,11.2995
2023-04-16,10.8268
2023-05-16,10.8432
2023-06-16,11.9799
2023-07-16,11.9776
2023-08-16,11.944
2023-09-16,11.5121
2023-10-16,11.4086
2023-11-16,11.4788
2023-12-16,12.3796
2024-01-16,12.3732
2024-02-16,12.355
2024-03-16,12.3005
2024-04-16,10.9935
2024-05-16,10.9156
2024-06-16,10.9039
2024-07-16,11.3528
2024-08-16,11.3884
2024-09-16,11.4782
2024-10-16,11.3644
2024-11-16,11.3819
2024-12-16,12.2324
2025-01-16,12.2256
2025-02-16,12.2716
2025-03-16,12.2363
2025-04-16,12.0778
2025-05-16,12.102
2025-06-16,12.3779
2025-07-16,12.4039
2025-08-16,12.3909
2025-09-16,11.7385
2025-10-16,11.7592
2025-11-16,11.6382
2025-12-16,11.5993
2026-01-16,11.5988
2026-02-16,11.6519
2026-03-16,11.6352
2026-04-16,10.731
