date,oper_margin
2004-05-20,8.691
2004-06-20,8.6928
2004-07-20,8.6922
2004-08-20,8.6991
2004-09-20,8.6991
2004-10-20,8.6991
2004-11-20,8.6991
2004-12-20,8.6991
2005-01-20,8.6991
2005-02-20,8.6991
2005-03-20,8.6991
2005-04-20,8.6991
2005-05-20,11.0536
2005-06-20,10.0795
2005-07-20,10.0877
2005-08-20,10.0576
2005-09-20,10.0458
2005-10-20,10.0458
2005-11-20,10.0458
2005-12-20,10.0458
2006-01-20,10.0458
2006-02-20,10.0458
2006-03-20,10.0458
2006-04-20,10.0458
2006-05-20,8.5952
2006-06-20,8.3674
2006-07-20,8.394
2006-08-20,8.3293
2006-09-20,8.3293
2006-10-20,8.3293
2006-11-20,8.3293
2006-12-20,8.3293
2007-01-20,8.3293
2007-02-20,8.3293
2007-03-20,8.3293
2007-04-20,8.3293
2007-05-20,8.0957
2007-06-20,8.0833
2007-07-20,8.0763
2007-08-20,10.1224
2007-09-20,10.1789
2007-10-20,10.2852
2007-11-20,10.9521
2007-12-20,10.9408
2008-01-20,11.1551
2008-02-20,4.4382
2008-03-20,4.4567
2008-04-20,8.4754
2008-05-20,8.3129
2008-06-20,8.3129
2008-07-20,8.3838
2008-08-20,9.6939
2008-09-20,9.851
2008-10-20,9.886
2008-11-20,9.8554
2008-12-20,9.9116
2009-01-20,9.8602
2009-02-20,9.408
2009-03-20,9.489
2009-04-20,6.7449
2009-05-20,6.1824
2009-06-20,6.1824
2009-07-20,6.178
2009-08-20,7.4128
2009-09-20,7.6756
2009-10-20,7.7367
2009-11-20,6.5725
2009-12-20,6.4799
2010-01-20,6.4538
2010-02-20,7.3099
2010-03-20,6.8339
2010-04-20,6.4991
2010-05-20,6.4688
2010-06-20,6.485
2010-07-20,6.5206
2010-08-20,8.7192
2010-09-20,9.9366
2010-10-20,9.9366
2010-11-20,9.8952
2010-12-20,9.3976
2011-01-20,9.6628
2011-02-20,9.3911
2011-03-20,9.026
2011-04-20,7.8606
2011-05-20,7.8625
2011-06-20,8.5474
2011-07-20,8.5426
2011-08-20,8.5291
2011-09-20,8.3464
2011-10-20,8.3465
2011-11-20,8.303
2011-12-20,8.3818
2012-01-20,8.3342
2012-02-20,8.3302
2012-03-20,8.3285
2012-04-20,7.3282
2012-05-20,7.3385
2012-06-20,7.1489
2012-07-20,7.1713
2012-08-20,7.146
2012-09-20,6.7019
2012-10-20,6.7017
2012-11-20,6.6855
2012-12-20,6.7125
2013-01-20,6.7129
2013-02-20,6.687
2013-03-20,7.0051
2013-04-20,6.5856
2013-05-20,6.5786
2013-06-20,6.3174
2013-07-20,6.3404
2013-08-20,6.3494
2013-09-20,6.4982
2013-10-20,6.5021
2013-11-20,6.5243
2013-12-20,6.5148
2014-01-20,6.5146
2014-02-20,6.5383
2014-03-20,6.6767
2014-04-20,6.3169
2014-05-20,6.3377
2014-06-20,6.3523
2014-07-20,6.3523
2014-08-20,6.3649
2014-09-20,6.1632
2014-10-20,6.1632
2014-11-20,6.1533
2014-12-20,5.7421
2015-01-20,5.7299
2015-02-20,5.7316
2015-03-20,6.4391
2015-04-20,5.946
2015-05-20,5.946
2015-06-20,6.1424
2015-07-20,6.1423
2015-08-20,6.1514
2015-09-20,6.7634
2015-10-20,6.7634
2015-11-20,6.437
2015-12-20,6.8771
2016-01-20,6.8771
2016-02-20,6.8771
2016-03-20,7.9186
2016-04-20,6.9608
2016-05-20,6.9607
2016-06-20,7.1419
2016-07-20,7.1419
2016-08-20,8.0562
2016-09-20,7.5899
2016-10-20,7.5899
2016-11-20,7.5899
2016-12-20,7.8721
2017-01-20,7.8721
2017-02-20,7.8721
2017-03-20,9.0953
2017-04-20,7.9763
2017-05-20,7.9763
2017-06-20,8.7479
2017-07-20,8.7479
2017-08-20,8.7479
2017-09-20,9.1026
2017-10-20,9.1026
2017-11-20,9.1026
2017-12-20,9.6666
2018-01-20,9.6666
2018-02-20,9.6666
2018-03-20,10.4996
2018-04-20,10.1955
2018-05-20,10.1898
2018-06-20,10.3659
2018-07-20,10.3659
2018-08-20,10.3689
2018-09-20,10.5806
2018-10-20,10.5806
2018-11-20,10.5806
2018-12-20,10.7347
2019-01-20,10.7347
2019-02-20,10.7422
2019-03-20,11.2993
2019-04-20,10.2954
2019-05-20,10.2954
2019-06-20,9.7046
2019-07-20,9.7046
2019-08-20,9.7046
2019-09-20,8.7174
2019-10-20,8.7174
2019-11-20,8.7174
2019-12-20,7.4735
2020-01-20,7.4735
2020-02-20,7.4735
2020-03-20,6.8773
2020-04-20,6.6249
2020-05-20,6.6248
2020-06-20,6.1481
2020-07-20,6.1354
2020-08-20,6.1354
2020-09-20,6.0759
2020-10-20,6.0759
2020-11-20,6.0759
2020-12-20,6.7774
2021-01-20,6.7774
2021-02-20,6.7774
2021-03-20,7.5881
2021-04-20,7.3145
2021-05-20,7.3145
2021-06-20,8.4899
2021-07-20,8.4899
2021-08-20,8.4831
2021-09-20,9.3208
2021-10-20,9.3208
2021-11-20,9.3167
2021-12-20,10.0573
2022-01-20,10.0573
2022-02-20,10.0799
2022-03-20,10.6401
2022-04-20,10.3619
2022-05-20,10.3619
2022-06-20,10.2625
2022-07-20,10.2625
2022-08-20,10.2716
2022-09-20,10.1696
2022-10-20,10.1696
2022-11-20,10.1725
2022-12-20,9.03
2023-01-20,9.03
2023-02-20,9.0329
2023-03-20,7.8148
2023-04-20,7.5986
2023-05-20,7.5986
2023-06-20,6.4384
2023-07-20,6.4384
2023-08-20,6.4513
2023-09-20,5.3284
2023-10-20,5.3284
2023-11-20,5.3399
2023-12-20,5.2793
2024-01-20,5.2793
2024-02-20,5.2793
2024-03-20,6.1553
2024-04-20,5.733
2024-05-20,5.733
2024-06-20,6.5044
2024-07-20,6.5044
2024-08-20,6.5044
2024-09-20,7.5346
2024-10-20,7.5346
2024-11-20,7.5346
2024-12-20,8.1712
2025-01-20,8.1712
2025-02-20,8.1712
2025-03-20,8.8362
2025-04-20,8.6507
2025-05-20,8.6507
2025-06-20,8.8883
2025-07-20,8.8883
2025-08-20,8.8883
2025-09-20,8.8583
2025-10-20,8.8583
2025-11-20,8.8583
2025-12-20,9.2231
2026-01-20,9.2231
2026-02-20,9.2231
2026-03-20,10.6846
2026-04-20,10.3878
