date,roa
2004-05-20,2.5056
2004-06-20,2.505
2004-07-20,2.4671
2004-08-20,2.4252
2004-09-20,2.4252
2004-10-20,2.4252
2004-11-20,2.4252
2004-12-20,2.4252
2005-01-20,2.4252
2005-02-20,2.4252
2005-03-20,2.4252
2005-04-20,2.4252
2005-05-20,3.8436
2005-06-20,3.8682
2005-07-20,3.8334
2005-08-20,3.7751
2005-09-20,3.7577
2005-10-20,3.7577
2005-11-20,3.7577
2005-12-20,3.7577
2006-01-20,3.7577
2006-02-20,3.7577
2006-03-20,3.7577
2006-04-20,3.7577
2006-05-20,4.6156
2006-06-20,4.5819
2006-07-20,4.551
2006-08-20,4.7057
2006-09-20,4.6804
2006-10-20,4.6135
2006-11-20,4.6177
2006-12-20,4.5275
2007-01-20,4.4287
2007-02-20,4.588
2007-03-20,4.5025
2007-04-20,4.3668
2007-05-20,3.0303
2007-06-20,3.0679
2007-07-20,3.0679
2007-08-20,3.1834
2007-09-20,3.1774
2007-10-20,3.159
2007-11-20,3.1529
2007-12-20,3.009
2008-01-20,3.1421
2008-02-20,3.1299
2008-03-20,3.1164
2008-04-20,2.8389
2008-05-20,2.6632
2008-06-20,2.6632
2008-07-20,2.6271
2008-08-20,2.8089
2008-09-20,2.8121
2008-10-20,2.8217
2008-11-20,2.7699
2008-12-20,2.7601
2009-01-20,2.7511
2009-02-20,2.8863
2009-03-20,2.8823
2009-04-20,1.2377
2009-05-20,1.2348
2009-06-20,1.2348
2009-07-20,1.2414
2009-08-20,1.3828
2009-09-20,1.3925
2009-10-20,1.4308
2009-11-20,1.6469
2009-12-20,1.6403
2010-01-20,1.6487
2010-02-20,1.4651
2010-03-20,1.4695
2010-04-20,1.8972
2010-05-20,1.9766
2010-06-20,1.9869
2010-07-20,1.9827
2010-08-20,2.4425
2010-09-20,2.693
2010-10-20,2.6885
2010-11-20,2.7179
2010-12-20,3.0276
2011-01-20,3.0163
2011-02-20,3.0087
2011-03-20,2.9596
2011-04-20,2.8373
2011-05-20,2.8184
2011-06-20,2.9475
2011-07-20,2.9287
2011-08-20,2.9233
2011-09-20,2.9659
2011-10-20,2.9577
2011-11-20,2.9258
2011-12-20,2.6511
2012-01-20,2.6168
2012-02-20,2.5488
2012-03-20,2.7574
2012-04-20,2.6182
2012-05-20,2.6053
2012-06-20,2.5158
2012-07-20,2.4927
2012-08-20,2.4763
2012-09-20,2.1193
2012-10-20,2.1194
2012-11-20,2.1252
2012-12-20,2.3975
2013-01-20,2.3976
2013-02-20,2.3966
2013-03-20,2.4646
2013-04-20,2.3915
2013-05-20,2.3977
2013-06-20,2.1475
2013-07-20,2.1134
2013-08-20,2.1108
2013-09-20,2.1869
2013-10-20,2.19
2013-11-20,2.3045
2013-12-20,2.2104
2014-01-20,2.2104
2014-02-20,2.2025
2014-03-20,2.2081
2014-04-20,2.1911
2014-05-20,2.1529
2014-06-20,2.0884
2014-07-20,2.0856
2014-08-20,2.0781
2014-09-20,2.095
2014-10-20,2.0949
2014-11-20,2.0938
2014-12-20,1.816
2015-01-20,1.8159
2015-02-20,1.8173
2015-03-20,2.0651
2015-04-20,1.7635
2015-05-20,1.7899
2015-06-20,1.7678
2015-07-20,1.7678
2015-08-20,1.7228
2015-09-20,1.6782
2015-10-20,1.6782
2015-11-20,1.8552
2015-12-20,1.8623
2016-01-20,1.8623
2016-02-20,1.8623
2016-03-20,2.1394
2016-04-20,1.905
2016-05-20,1.905
2016-06-20,1.9081
2016-07-20,1.9076
2016-08-20,2.0824
2016-09-20,1.9586
2016-10-20,1.9586
2016-11-20,1.9586
2016-12-20,1.7767
2017-01-20,1.7782
2017-02-20,1.772
2017-03-20,1.9017
2017-04-20,1.8647
2017-05-20,1.8647
2017-06-20,2.0864
2017-07-20,2.0864
2017-08-20,2.0864
2017-09-20,2.327
2017-10-20,2.3269
2017-11-20,2.2997
2017-12-20,2.4129
2018-01-20,2.4129
2018-02-20,2.4129
2018-03-20,2.9238
2018-04-20,2.5705
2018-05-20,2.5545
2018-06-20,2.5706
2018-07-20,2.5706
2018-08-20,2.5405
2018-09-20,2.5803
2018-10-20,2.5803
2018-11-20,2.5647
2018-12-20,2.5276
2019-01-20,2.5306
2019-02-20,2.5306
2019-03-20,2.0699
2019-04-20,2.2995
2019-05-20,2.373
2019-06-20,2.1583
2019-07-20,2.1583
2019-08-20,1.9603
2019-09-20,1.8579
2019-10-20,1.8579
2019-11-20,1.6512
2019-12-20,1.5472
2020-01-20,1.5472
2020-02-20,1.5472
2020-03-20,1.155
2020-04-20,1.2116
2020-05-20,1.0959
2020-06-20,1.0579
2020-07-20,1.0579
2020-08-20,1.0579
2020-09-20,1.0176
2020-10-20,1.0176
2020-11-20,1.0176
2020-12-20,1.1429
2021-01-20,1.1429
2021-02-20,1.1429
2021-03-20,1.3979
2021-04-20,1.3083
2021-05-20,1.8919
2021-06-20,1.8532
2021-07-20,1.8528
2021-08-20,2.3106
2021-09-20,2.2378
2021-10-20,2.2378
2021-11-20,2.5548
2021-12-20,2.4516
2022-01-20,2.4516
2022-02-20,2.4516
2022-03-20,2.7195
2022-04-20,2.6466
2022-05-20,2.6466
2022-06-20,2.4422
2022-07-20,2.4387
2022-08-20,2.4387
2022-09-20,2.4363
2022-10-20,2.4363
2022-11-20,2.4363
2022-12-20,2.1057
2023-01-20,2.1057
2023-02-20,2.1057
2023-03-20,1.845
2023-04-20,2.1006
2023-05-20,2.1006
2023-06-20,1.7039
2023-07-20,1.7038
2023-08-20,1.7038
2023-09-20,1.3534
2023-10-20,1.3534
2023-11-20,1.3593
2023-12-20,1.3171
2024-01-20,1.3171
2024-02-20,1.3171
2024-03-20,1.2498
2024-04-20,1.1523
2024-05-20,1.3476
2024-06-20,1.3197
2024-07-20,1.3197
2024-08-20,1.6869
2024-09-20,1.6305
2024-10-20,1.6305
2024-11-20,1.8274
2024-12-20,1.7847
2025-01-20,1.7847
2025-02-20,1.7847
2025-03-20,1.5613
2025-04-20,1.98
2025-05-20,2.1377
2025-06-20,2.1592
2025-07-20,2.1592
2025-08-20,2.1261
2025-09-20,2.1171
2025-10-20,2.1171
2025-11-20,2.1171
2025-12-20,2.2263
2026-01-20,2.2263
2026-02-20,2.2263
2026-03-20,2.5661
2026-04-20,2.4527
