event_rel_time,car,ci_lo,ci_hi
0,-0.053130883740884115,-0.30427395162423526,0.19801218414246705
1,-0.060792651222652365,-0.4636461773701784,0.34206087492487364
2,-0.14651863577863733,-0.7320290606330753,0.4389917890758006
3,-0.12894217074217298,-0.8413946419353189,0.583510300450973
4,-0.12072992277992553,-0.9406791551364754,0.6992193095766243
5,-0.12161522522522843,-1.0516192697700675,0.8083888193196106
6,-0.18259807807808182,-1.2220576684955056,0.8568615123393419
7,-0.2066118146718193,-1.3988158463217613,0.9855922169781227
8,-0.2639564350064403,-1.5538541770279872,1.0259413070151067
9,-0.2098652724152787,-1.593919728437589,1.1741891836070315
10,-0.13210499356500055,-1.5940944527685292,1.3298844656385282
11,-0.10430893178893942,-1.6573420191749928,1.448724155597114
12,-0.053877087087095536,-1.6857185942718846,1.5779644200976937
13,0.09999054054053183,-1.6036032624544372,1.803584343535501
14,0.20736061776060843,-1.5631915622018333,1.9779127977230502
15,0.3666331445731348,-1.4705961606683697,2.2038624498146393
16,0.6168414543114438,-1.2923169696446741,2.5259998782675614
17,0.8186855469755354,-1.159790428072134,2.797161522023205
18,0.9627654225654101,-1.0967363220383468,3.0222671671691668
19,1.1550477477477346,-0.9800991583670342,3.2901946538625033
20,1.4308991891891751,-0.7851029481850551,3.6469013265634054
21,1.6475864135563985,-0.6375999869289766,3.9327728140417735
22,1.8411427541827383,-0.522558719120646,4.204844227486123
23,2.0811348777348613,-0.364393007232386,4.5266627627021085
24,2.3310961175461,-0.19056910595251253,4.852761341044713
